trade	2018-01-29	04:00:01.475	37@12.880	21431
trade	2018-01-29	04:00:01.475	163@12.880	21594
trade	2018-01-29	04:00:01.475	132@13.030	21726
trade	2018-01-29	04:00:01.475	100@13.000	21826
trade	2018-01-29	04:00:01.475	50@13.000	21876
trade	2018-01-29	04:00:01.500	50@13.000	21926
trade	2018-01-29	04:00:01.500	287@13.000	22213
trade	2018-01-29	04:00:01.500	68@13.060	22281
trade	2018-01-29	04:00:01.500	32@13.060	22313
trade	2018-01-29	04:00:01.500	100@13.000	22413
trade	2018-01-29	04:00:01.500	290@13.000	22703
trade	2018-01-29	04:00:01.500	30@13.000	22733
trade	2018-01-29	04:00:01.500	20@50.400	29
trade	2018-01-29	04:00:01.500	13@50.400	42
trade	2018-01-29	04:00:01.500	25@50.400	67
trade	2018-01-29	04:00:01.500	3@50.500	70
trade	2018-01-29	04:00:01.525	600@13.000	23333
trade	2018-01-29	04:00:01.525	443@13.000	23776
trade	2018-01-29	04:00:01.525	222@13.000	23998
trade	2018-01-29	04:00:01.525	15@50.500	85
trade	2018-01-29	04:00:01.525	6@50.500	91
trade	2018-01-29	04:00:01.550	118@13.300	24116
trade	2018-01-29	04:00:01.550	200@13.100	24316
trade	2018-01-29	04:00:01.600	2@51.000	93
trade	2018-01-29	04:00:01.625	2@51.000	95
trade	2018-01-29	04:00:01.625	496@51.000	591
trade	2018-01-29	04:00:01.725	5@171.390	697
trade	2018-01-29	04:00:01.725	5@171.380	702
trade	2018-01-29	04:00:01.725	20@171.500	722
trade	2018-01-29	04:00:01.725	10@171.500	732
trade	2018-01-29	04:00:01.775	5@172.000	737
trade	2018-01-29	04:00:01.775	95@172.000	832
trade	2018-01-29	04:00:01.775	1@172.000	833
trade	2018-01-29	04:00:01.775	100@172.000	933
trade	2018-01-29	04:00:01.800	4@172.000	937
trade	2018-01-29	04:00:01.800	33@51.000	624
trade	2018-01-29	04:00:01.825	17@171.390	954
trade	2018-01-29	04:00:01.825	75@171.390	1029
trade	2018-01-29	04:00:01.900	199@159.500	199
trade	2018-01-29	04:00:01.925	50@83.000	50
trade	2018-01-29	04:00:01.925	7@30.750	7
trade	2018-01-29	04:00:01.925	27@30.750	34
trade	2018-01-29	04:00:01.925	50@21.000	50
trade	2018-01-29	04:00:01.925	50@21.000	100
trade	2018-01-29	04:00:01.925	300@21.000	400
trade	2018-01-29	04:00:01.925	2000@91.520	2000
trade	2018-01-29	04:00:01.925	25@196.900	25
trade	2018-01-29	04:00:01.925	14@13.020	14
trade	2018-01-29	04:00:01.925	100@13.020	114
trade	2018-01-29	04:00:01.925	1000@13.020	1114
trade	2018-01-29	04:00:01.925	136@13.020	1250
trade	2018-01-29	04:00:01.925	1@171.410	1030
trade	2018-01-29	04:00:01.925	364@13.020	1614
trade	2018-01-29	04:00:01.925	100@13.020	1714
trade	2018-01-29	04:00:01.925	30@13.020	1744
trade	2018-01-29	04:00:01.925	278@13.020	2022
trade	2018-01-29	04:00:01.925	2@1410.000	2
trade	2018-01-29	04:00:01.925	2@1410.000	4
trade	2018-01-29	04:00:01.925	1@1410.000	5
trade	2018-01-29	04:00:01.925	9@1410.000	14
trade	2018-01-29	04:00:01.925	1@1410.000	15
trade	2018-01-29	04:00:01.925	4@1410.000	19
trade	2018-01-29	04:00:01.925	36@1410.000	55
trade	2018-01-29	04:00:01.925	64@1410.000	119
trade	2018-01-29	04:00:01.925	30@1410.000	149
trade	2018-01-29	04:00:01.925	3@1410.000	152
trade	2018-01-29	04:00:01.925	78@127.440	78
trade	2018-01-29	04:00:01.925	20@171.660	20
trade	2018-01-29	04:00:01.925	100@171.660	120
trade	2018-01-29	04:00:01.925	60@146.820	60
trade	2018-01-29	04:00:01.925	100@19.980	100
trade	2018-01-29	04:00:01.925	24@53.070	24
trade	2018-01-29	04:00:01.925	16@53.070	40
trade	2018-01-29	04:00:01.925	20@127.440	98
trade	2018-01-29	04:00:01.925	2@127.440	100
trade	2018-01-29	04:00:01.925	28@127.440	128
trade	2018-01-29	04:00:01.925	3@286.370	3
trade	2018-01-29	04:00:01.925	100@286.370	103
trade	2018-01-29	04:00:01.925	97@286.370	200
trade	2018-01-29	04:00:01.925	3@286.370	203
trade	2018-01-29	04:00:01.925	20@286.370	223
trade	2018-01-29	04:00:01.925	25@47.500	25
trade	2018-01-29	04:00:01.925	10@92.530	10
trade	2018-01-29	04:00:01.925	10000@13.260	10000
trade	2018-01-29	04:00:01.925	10000@13.260	20000
trade	2018-01-29	04:00:01.925	10000@13.260	30000
trade	2018-01-29	04:00:01.925	10000@13.260	40000
trade	2018-01-29	04:00:01.925	10000@13.260	50000
trade	2018-01-29	04:00:01.925	2@35.000	2
trade	2018-01-29	04:00:01.925	40@55.500	40
trade	2018-01-29	04:00:01.925	50@13.640	50
trade	2018-01-29	04:00:01.925	200@0.630	200
trade	2018-01-29	04:00:01.925	200@0.630	400
trade	2018-01-29	04:00:01.925	12@52.780	12
trade	2018-01-29	04:00:01.925	20@53.900	20
trade	2018-01-29	04:00:01.925	30@127.750	30
trade	2018-01-29	04:00:01.925	80@53.900	100
trade	2018-01-29	04:00:01.925	100@127.750	130
trade	2018-01-29	04:00:01.925	20@53.900	120
trade	2018-01-29	04:00:01.925	5000@16.000	5000
trade	2018-01-29	04:00:01.925	618@16.000	5618
trade	2018-01-29	04:00:01.925	309@16.000	5927
trade	2018-01-29	04:00:01.925	309@16.000	6236
trade	2018-01-29	04:00:01.925	7@205.870	7
trade	2018-01-29	04:00:01.925	112@19.800	112
trade	2018-01-29	04:00:01.925	109@19.800	221
trade	2018-01-29	04:00:01.925	200@19.800	421
trade	2018-01-29	04:00:01.925	15@19.800	436
trade	2018-01-29	04:00:01.925	264@19.800	700
trade	2018-01-29	04:00:01.925	736@19.800	1436
trade	2018-01-29	04:00:01.925	45@19.800	1481
trade	2018-01-29	04:00:01.925	300@7.980	300
trade	2018-01-29	04:00:01.925	100@7.980	400
trade	2018-01-29	04:00:01.925	300@7.980	700
trade	2018-01-29	04:00:01.925	100@7.980	800
trade	2018-01-29	04:00:01.925	20@7.670	20
trade	2018-01-29	04:00:01.925	1000@16.000	7236
trade	2018-01-29	04:00:01.925	50@16.000	7286
trade	2018-01-29	04:00:01.925	199@16.000	7485
trade	2018-01-29	04:00:01.925	29@34.000	29
trade	2018-01-29	04:00:01.925	64@34.000	93
trade	2018-01-29	04:00:01.925	100@46.030	100
trade	2018-01-29	04:00:01.925	180@46.030	280
trade	2018-01-29	04:00:01.925	100@21.160	220
trade	2018-01-29	04:00:01.925	400@21.160	620
trade	2018-01-29	04:00:01.925	100@21.160	720
trade	2018-01-29	04:00:01.925	400@21.160	1120
trade	2018-01-29	04:00:01.925	100@21.160	1220
trade	2018-01-29	04:00:01.925	100@11.460	100
trade	2018-01-29	04:00:01.925	20@11.460	120
trade	2018-01-29	04:00:01.925	20@11.460	140
trade	2018-01-29	04:00:01.925	44@11.460	184
trade	2018-01-29	04:00:01.925	100@11.460	284
trade	2018-01-29	04:00:01.925	8@94.350	8
trade	2018-01-29	04:00:01.925	20@205.870	27
trade	2018-01-29	04:00:01.925	4@205.870	31
trade	2018-01-29	04:00:01.925	200@205.870	231
trade	2018-01-29	04:00:01.925	70@205.870	301
trade	2018-01-29	04:00:01.925	500@205.870	801
trade	2018-01-29	04:00:01.925	10@205.870	811
trade	2018-01-29	04:00:01.925	150@205.870	961
trade	2018-01-29	04:00:01.925	1@205.870	962
trade	2018-01-29	04:00:01.925	38@205.870	1000
trade	2018-01-29	04:00:01.925	300@184.000	300
trade	2018-01-29	04:00:01.925	100@184.000	400
trade	2018-01-29	04:00:01.925	100@184.000	500
trade	2018-01-29	04:00:01.925	50@184.000	550
trade	2018-01-29	04:00:01.925	2@87.660	2
trade	2018-01-29	04:00:01.925	100@145.100	100
trade	2018-01-29	04:00:01.925	38@80.000	38
trade	2018-01-29	04:00:01.925	25@178.680	25
trade	2018-01-29	04:00:01.925	13@87.700	13
trade	2018-01-29	04:00:01.925	18@62.040	18
trade	2018-01-29	04:00:01.925	100@129.670	100
trade	2018-01-29	04:00:01.925	350@129.670	450
trade	2018-01-29	04:00:01.925	50@129.670	500
trade	2018-01-29	04:00:01.925	500@69.500	500
trade	2018-01-29	04:00:01.925	100@69.500	600
trade	2018-01-29	04:00:01.925	100@69.500	700
trade	2018-01-29	04:00:01.925	300@69.500	1000
trade	2018-01-29	04:00:01.925	50@189.850	50
trade	2018-01-29	04:00:01.925	330@189.850	380
trade	2018-01-29	04:00:01.925	20@189.850	400
trade	2018-01-29	04:00:01.925	50@20.500	50
trade	2018-01-29	04:00:01.925	20@12.250	20
trade	2018-01-29	04:00:01.925	100@90.000	100
trade	2018-01-29	04:00:01.925	10@90.000	110
trade	2018-01-29	04:00:01.925	75@180.500	75
